"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Swarming of Moria","R","C","138798","5.37","26220","7.39","111709","56.0%","19460","56.1%","29188","56.9%","48648","56.6%","62958","55.5%","1.1pp"
"There and Back Again","R","R","5378","1.74","3332","1.73","18074","57.2%","3065","60.0%","4702","60.4%","7767","60.2%","10258","55.0%","5.3pp"
"Warbeast of Gorgoroth","R","C","151520","6.15","23487","8.73","74472","57.8%","11540","57.4%","18884","59.6%","30424","58.8%","44118","57.1%","1.7pp"
"Bag End Porter","G","C","156428","6.88","16026","10.13","33683","53.6%","5485","54.0%","8426","57.0%","13911","55.8%","19654","51.8%","4.0pp"
"Bombadil's Song","G","C","161380","7.43","16086","10.95","26708","50.0%","4238","47.4%","6738","52.3%","10976","50.4%","15666","49.7%","0.7pp"
"Brandywine Farmer","G","C","163944","7.94","15745","11.67","16829","49.4%","2883","45.5%","3994","48.8%","6877","47.4%","9880","50.6%","-3.2pp"
"Celeborn the Wise","G","U","38681","4.19","4817","5.77","16710","50.7%","2705","52.3%","4441","53.4%","7146","53.0%","9486","48.8%","4.2pp"
"Chance-Met Elves","G","C","143774","6.38","13840","9.35","35126","49.5%","6067","50.8%","8986","50.7%","15053","50.7%","19819","48.5%","2.2pp"
"Delighted Halfling","G","R","7107","2.20","2352","2.31","10370","53.9%","1834","64.1%","2596","54.3%","4430","58.3%","5908","50.6%","7.8pp"
"Dúnedain Rangers","G","U","40644","4.34","6076","5.80","23331","52.6%","3951","52.6%","5914","55.3%","9865","54.3%","13382","51.2%","3.0pp"
"Elven Chorus","G","R","8162","2.71","1868","3.09","7059","49.8%","1176","47.1%","1849","51.0%","3025","49.5%","4018","50.1%","-0.6pp"
"Elven Farsight","G","C","157286","7.28","14346","10.93","21518","49.7%","3824","47.2%","5478","52.6%","9302","50.3%","12075","49.2%","1.2pp"
"Enraged Huorn","G","C","153582","6.60","17571","9.59","50933","53.6%","8016","53.2%","13133","56.7%","21149","55.4%","29574","52.1%","3.3pp"
"Entish Restoration","G","U","49376","5.47","5534","8.00","10811","48.5%","1882","43.1%","2601","47.3%","4483","45.5%","6315","50.6%","-5.0pp"
"Ent's Fury","G","C","134371","5.46","18019","7.53","71705","53.3%","11398","51.9%","18602","57.7%","30000","55.5%","41485","51.7%","3.8pp"
"Fall of Gil-galad","G","R","7461","2.37","2175","2.56","9847","52.3%","1712","53.7%","2541","57.1%","4253","55.7%","5563","49.5%","6.2pp"
"Fangorn, Tree Shepherd","G","R","12239","3.85","1638","5.40","3453","50.1%","459","49.0%","866","47.3%","1325","47.9%","2106","51.2%","-3.3pp"
"Galadhrim Bow","G","C","166248","8.04","15869","11.87","12824","51.5%","2036","50.3%","3087","53.7%","5123","52.4%","7681","50.9%","1.5pp"
"Galadhrim Guide","G","C","157490","7.20","14507","10.75","23743","49.8%","3848","50.2%","6124","51.5%","9972","51.0%","13606","48.8%","2.2pp"
"Generous Ent","G","C","137986","5.49","18829","7.78","76453","53.7%","13365","53.4%","19484","57.4%","32849","55.8%","43220","52.0%","3.7pp"
"Gift of Strands","G","U","52098","5.93","5498","8.92","9553","50.5%","1449","50.9%","2443","54.3%","3892","53.1%","5621","48.6%","4.4pp"
